"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-01","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"91",",,W","73",",,W","  240",",,W","  210",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-02","3.13",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"87",",,W","73",",,W","  280",",,W","  210",",,W","10.1",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-03","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"88",",,W","73",",,W","  280",",,W","  270",",,W","10.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-04","2.68",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","65",",,W","  270",",,W","  250",",,W","8.9",",,W","16.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-05","4.47",",,W",,,"0.09",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"87",",,W","70",",,W","  200",",,W","  170",",,W","12.1",",,W","19.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-06","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","71",",,W","   50",",,W","  300",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-07","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"84",",,W","69",",,W","   70",",,W","   70",",,W","12.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-08","1.34",",,W",,,"0.24",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"83",",,W","68",",,W","  290",",,W","  290",",,W","8.1",",,W","13.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-09","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","71",",,W","   60",",,W","   50",",,W","10.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-10","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"83",",,W","67",",,W","   60",",,W","   60",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-11","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","67",",,W","  210",",,W","  220",",,W","13.0",",,W","21.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-12","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"90",",,W","70",",,W","  240",",,W","  250",",,W","15.0",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-13","2.68",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"91",",,W","74",",,W","  290",",,W","  180",",,W","8.9",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-14","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"90",",,W","72",",,W","  300",",,W","  310",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-15","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"86",",,W","73",",,W","   70",",,W","   60",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,,
