DO_Borough,trip_count,median_total_amount,p90_trip_minutes,destination_share
Bronx,1160,17.825000000000003,24.002,0.7493540051679587
Manhattan,376,15.8,25.767,0.24289405684754523
Queens,8,25.35,19.808,0.00516795865633075
Brooklyn,6413,13.57,22.767,0.6306421477038057
Manhattan,3456,22.56,26.2,0.33985642639394237
Queens,289,18.36,25.563,0.028419706952502705
EWR,86,111.85,2.017,0.9247311827956989
Unknown,7,125.16,4.627,0.07526881720430108
Manhattan,2304764,14.16,20.117,0.9743151828645009
Brooklyn,34311,24.96,27.0,0.01450462096738056
Queens,22736,23.76,26.358,0.009611409236523693
Queens,18536,17.05,22.633,0.7910549675657221
Manhattan,3872,24.96,26.465,0.16524411061795835
Brooklyn,848,27.05,26.593,0.03618982587913964
Staten Island,27,16.0,19.32,0.9310344827586207
Brooklyn,1,27.1,11.85,0.034482758620689655
Unknown,1,120.3,11.067,0.034482758620689655
Unknown,12598,13.56,20.267,0.6122072115851881
Manhattan,6998,14.3,21.438,0.3400719214695306
Queens,834,19.55,22.653,0.0405287199922247
